"Source #","Source Name","Source Alias","Source Type","Source Department","Canonical Department","Existing LIS Match","Match Type","Canonical Proposed Identity","Workflow","Conflict","Required Next Action"
"13","Malaria Parasite (Card Test)","MP (Card Test)","Multi parameter","Haematology","Serology & Immunology","","MissingDraftCandidate","Malaria Parasite (Card Test)","RoutineMultiParameter/Profile","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"14","Malaria Parasite (Microscopic)","MP (Microscopic)","Single parameter","Haematology","Serology & Immunology","","MissingDraftCandidate","Malaria Parasite (Microscopic)","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"15","Filarial Parasite (Card Test)","MF","Single parameter","Haematology","Serology & Immunology","","MissingDraftCandidate","Filarial Parasite (Card Test)","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"16","Total RBC Count","","Single parameter","Haematology","Hematology","RBC_COUNT — Red Blood Cell Count (RBC Count) [Active/Routine; clinical=false]","AliasExisting","RBC_COUNT — Red Blood Cell Count","RoutineSingleParameter","CBC component versus standalone billable service boundary","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"17","Hematocrit Value, Hct","Hct","Single parameter","Haematology","Hematology","PCV — Packed Cell Volume (PCV / Hematocrit) [Active/Routine; clinical=false]","AliasExisting","PCV — Packed Cell Volume / Hematocrit","RoutineSingleParameter","CBC component versus standalone billable service boundary","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"18","Mean Corpuscular Volume, MCV","MCV","Single parameter","Haematology","Hematology","CBC.MCV — Mean Corpuscular Volume (MCV)","ProfileComponentExisting","MCV standalone identity","RoutineSingleParameter","CBC component versus standalone billable service boundary","decide whether standalone billing identity is required; do not duplicate profile parameter automatically"
"19","Mean Cell Haemoglobin, MCH","MCH","Single parameter","Haematology","Hematology","CBC.MCH — Mean Corpuscular Hemoglobin (MCH)","ProfileComponentExisting","MCH standalone identity","RoutineSingleParameter","CBC component versus standalone billable service boundary","decide whether standalone billing identity is required; do not duplicate profile parameter automatically"
"20","Mean Cell Haemoglobin CON, MCHC","MCHC","Single parameter","Haematology","Hematology","CBC.MCHC — Mean Corpuscular Hb Conc (MCHC)","ProfileComponentExisting","MCHC standalone identity","RoutineSingleParameter","CBC component versus standalone billable service boundary","decide whether standalone billing identity is required; do not duplicate profile parameter automatically"
"21","Mean Platelet Volume, MPV","MPV","Single parameter","Haematology","Hematology","","MissingDraftCandidate","Mean Platelet Volume, MPV","RoutineSingleParameter","Platelet count versus platelet indices/profile boundary","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"22","Reticulocyte Count","","Single parameter","Haematology","Hematology","RETIC_COUNT — Reticulocyte Count [Draft/NoClinicalReport; clinical=false]","ExactExisting","RETIC_COUNT — Reticulocyte Count","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"23","Glucose-6-phosphate dehydrogenase","G6PD","Single parameter","Haematology","Hematology","","MissingDraftCandidate","Glucose-6-phosphate dehydrogenase","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"24","Prothrombin time, PT/INR","PT/INR","Multi parameter","Haematology","Hematology","PT_INR — Prothrombin Time / International Normalized Ratio (PT / INR) [Draft/NoClinicalReport; clinical=false]","AliasExisting","PT_INR — PT/INR (blocked pending authoritative configuration)","RoutineMultiParameter/Profile","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"25","Activated partial thromboplastin time, APTT","APTT","Multi parameter","Haematology","Hematology","","MissingDraftCandidate","APTT — Activated Partial Thromboplastin Time","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"26","WBC Count","","Single parameter","Haematology","Hematology","TLC — Total Leukocyte Count (TLC / WBC) [Active/Routine; clinical=false]","ConflictRequiresReview","TLC — WBC Count alias candidate","RoutineSingleParameter","TLC/WBC/TC equivalence and duplicate billable identity","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"27","P-LCR","","Single parameter","Haematology","Hematology","","MissingDraftCandidate","P-LCR","RoutineSingleParameter","Platelet count versus platelet indices/profile boundary","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"28","R.D.W. - CV","","Single parameter","Haematology","Hematology","","MissingDraftCandidate","R.D.W. - CV","RoutineSingleParameter","CBC component versus standalone billable service boundary","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"29","P.D.W.","","Single parameter","Haematology","Hematology","","MissingDraftCandidate","P.D.W.","RoutineSingleParameter","Platelet count versus platelet indices/profile boundary","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"30","R.D.W. - SD","","Single parameter","Haematology","Hematology","","MissingDraftCandidate","R.D.W. - SD","RoutineSingleParameter","CBC component versus standalone billable service boundary","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"31","Neutrophil Lymphocyte Ratio","NLR","Single parameter","Haematology","Hematology","","MissingDraftCandidate","Neutrophil Lymphocyte Ratio","RoutineSingleParameter","","CalculationDefinitionRequired; review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"32","Lupus Anticoagulant (DRVVT)","","Multi parameter","Haematology","Hematology","","MissingDraftCandidate","Lupus Anticoagulant (DRVVT)","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"33","Troponin T","","Single parameter","Haematology","Clinical Biochemistry / Immunoassay","","MissingDraftCandidate","Troponin T","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"34","HEMOGLOBIN HPLC/ELECTROPHORESIS","HPLC","Multi parameter","Haematology","Hematology","","MissingDraftCandidate","HEMOGLOBIN HPLC/ELECTROPHORESIS","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"35","Leukemia DLC","","Multi parameter","Haematology","Hematology","","ConflictRequiresReview","Leukemia DLC","RoutineMultiParameter/Profile","DLC variant/duplicate and reporting-shape conflict","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"36","RBC Indices","","Multi parameter","Haematology","Hematology","","ConflictRequiresReview","RBC Indices","RoutineMultiParameter/Profile","CBC component versus standalone billable service boundary","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"37","Platelet Indices","","Multi parameter","Haematology","Hematology","","ConflictRequiresReview","Platelet Indices","RoutineMultiParameter/Profile","Platelet count versus platelet indices/profile boundary; CBC component versus standalone billable service boundary","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"38","Morphology","","Multi parameter","Haematology","Hematology","","ConflictRequiresReview","Morphology","RoutineMultiParameter/Profile","CBC component versus standalone billable service boundary","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"39","DLC 3 Parts","","Multi parameter","Haematology","Hematology","","ConflictRequiresReview","DLC 3 Parts","RoutineMultiParameter/Profile","DLC variant/duplicate and reporting-shape conflict","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"40","DLC Leukemia","","Multi parameter","Haematology","Hematology","","ConflictRequiresReview","DLC Leukemia","RoutineMultiParameter/Profile","DLC variant/duplicate and reporting-shape conflict","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"41","Procalcitonin","","Single parameter","Haematology","Endocrinology / Hormone","","ConflictRequiresReview","Procalcitonin","RoutineSingleParameter","Duplicate Procalcitonin source identities across departments; Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"42","TC","TC","Single parameter","Haematology","Hematology","TLC — Total Leukocyte Count (TLC / WBC) [Active/Routine; clinical=false]","ConflictRequiresReview","TLC — TC alias candidate","RoutineSingleParameter","TLC/WBC/TC equivalence and duplicate billable identity","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"43","DLC","DLC","Single parameter","Haematology","Hematology","DLC — Differential Leukocyte Count (DLC) [Active/Routine; clinical=false]","ConflictRequiresReview","DLC — duplicate source row requiring type review","RoutineSingleParameter","DLC variant/duplicate and reporting-shape conflict","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"44","Serum Phosphorus","","Single parameter","Biochemistry","Clinical Biochemistry","PHOSPHORUS — Serum Phosphorus (Inorganic) [Active/Routine; clinical=false]","AliasExisting","PHOSPHORUS — Serum Phosphorus (Inorganic)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"45","Serum Creatinine","","Single parameter","Biochemistry","Clinical Biochemistry","CREATININE — Serum Creatinine [Active/Routine; clinical=false]","ExactExisting","CREATININE — Serum Creatinine","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"46","Serum Urea","","Single parameter","Biochemistry","Clinical Biochemistry","UREA — Blood Urea [Active/Routine; clinical=false]","AliasExisting","UREA — Blood Urea","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"47","Fasting Blood Sugar","","Single parameter","Biochemistry","Clinical Biochemistry","FBS — Fasting Blood Sugar (FBS) [Active/Routine; clinical=false]","AliasExisting","FBS — Fasting Blood Sugar (FBS)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"48","Blood Sugar PP","","Single parameter","Biochemistry","Clinical Biochemistry","PPBS — Post Prandial Blood Sugar (PPBS) [Active/Routine; clinical=false]","AliasExisting","PPBS — Post Prandial Blood Sugar (PPBS)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"49","Serum Bilirubin (Total)","","Single parameter","Biochemistry","Clinical Biochemistry","LFT.TBIL — Bilirubin Total","ProfileComponentExisting","Serum Bilirubin (Total)","RoutineSingleParameter","","decide whether standalone billing identity is required; do not duplicate profile parameter automatically"
"50","Serum Bilirubin (Direct)","","Single parameter","Biochemistry","Clinical Biochemistry","LFT.DBIL — Bilirubin Direct","ProfileComponentExisting","Serum Bilirubin (Direct)","RoutineSingleParameter","","decide whether standalone billing identity is required; do not duplicate profile parameter automatically"
"51","Serum Bilirubin (Indirect)","","Single parameter","Biochemistry","Clinical Biochemistry","LFT.IBIL — Bilirubin Indirect","ProfileComponentExisting","Serum Bilirubin (Indirect)","RoutineSingleParameter","","decide whether standalone billing identity is required; do not duplicate profile parameter automatically"
"52","Serum Uric Acid","Uric Acid","Single parameter","Biochemistry","Clinical Biochemistry","URIC_ACID — Serum Uric Acid [Active/Routine; clinical=false]","ExactExisting","URIC_ACID — Serum Uric Acid","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"53","SGPT (ALT)","SGPT","Single parameter","Biochemistry","Clinical Biochemistry","ALT — ALT / SGPT [Draft/NoClinicalReport; clinical=false]","AliasExisting","ALT — ALT / SGPT","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"54","SGOT (AST)","SGOT","Single parameter","Biochemistry","Clinical Biochemistry","AST — AST / SGOT [Draft/NoClinicalReport; clinical=false]","AliasExisting","AST — AST / SGOT","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"55","Serum Protein","","Single parameter","Biochemistry","Clinical Biochemistry","LFT.TP — Total Protein | URINE_RE.PROTEIN — Protein / Albumin","ProfileComponentExisting","Serum Protein","RoutineSingleParameter","","decide whether standalone billing identity is required; do not duplicate profile parameter automatically"
"56","Serum Albumin","","Single parameter","Biochemistry","Clinical Biochemistry","LFT.ALB — Albumin","ProfileComponentExisting","Serum Albumin","RoutineSingleParameter","","decide whether standalone billing identity is required; do not duplicate profile parameter automatically"
"57","Serum Alkaline Phosphatase","","Single parameter","Biochemistry","Clinical Biochemistry","ALP — Alkaline Phosphatase [Draft/NoClinicalReport; clinical=false]","ExactExisting","ALP — Alkaline Phosphatase","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"58","Total Cholesterol","","Single parameter","Biochemistry","Clinical Biochemistry","CHOL_TOTAL — Total Cholesterol [Draft/NoClinicalReport; clinical=false]","ExactExisting","CHOL_TOTAL — Total Cholesterol","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"59","Triglycerides","","Single parameter","Biochemistry","Clinical Biochemistry","TRIGLYCERIDES — Triglycerides [Draft/NoClinicalReport; clinical=false]","ExactExisting","TRIGLYCERIDES — Triglycerides","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"60","HDL Cholesterol","HDL Cholesterol","Single parameter","Biochemistry","Clinical Biochemistry","HDL_CHOL — HDL Cholesterol [Draft/NoClinicalReport; clinical=false]","ExactExisting","HDL_CHOL — HDL Cholesterol","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"61","LDL Cholesterol","LDL Cholesterol","Single parameter","Biochemistry","Clinical Biochemistry","LDL_CHOL — LDL Cholesterol [Draft/NoClinicalReport; clinical=false]","ExactExisting","LDL_CHOL — LDL Cholesterol","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"62","VLDL Cholesterol","VLDL Cholesterol","Single parameter","Biochemistry","Clinical Biochemistry","LIPID_PROFILE.VLDL — VLDL Cholesterol","ProfileComponentExisting","VLDL Cholesterol","RoutineSingleParameter","","decide whether standalone billing identity is required; do not duplicate profile parameter automatically"
"63","LDL / HDL","","Single parameter","Biochemistry","Clinical Biochemistry","","ConflictRequiresReview","LDL/HDL ratio — calculation candidate","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"64","Total Cholesterol / HDL","","Single parameter","Biochemistry","Clinical Biochemistry","","ConflictRequiresReview","Total Cholesterol/HDL ratio — calculation candidate","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"65","TG / HDL","","Single parameter","Biochemistry","Clinical Biochemistry","","ConflictRequiresReview","TG/HDL ratio — calculation candidate","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"66","Total Lipid","","Single parameter","Biochemistry","Clinical Biochemistry","LIPID — Lipid Profile [Active/Routine; clinical=true] | LIPID_PROFILE — Lipid Profile [Active/Routine; clinical=false]","ConflictRequiresReview","Total Lipid","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"67","Serum Sodium","","Single parameter","Biochemistry","Clinical Biochemistry","SODIUM — Serum Sodium (Na+) [Active/Routine; clinical=false]","AliasExisting","SODIUM — Serum Sodium (Na+)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"68","BUN","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","BUN","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"69","BUN / Creatinine Ratio","","Single parameter","Biochemistry","Clinical Biochemistry","","ConflictRequiresReview","BUN/Creatinine ratio — calculation candidate","RoutineSingleParameter","","CalculationDefinitionRequired; review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"70","Urea / Creatinine Ratio","","Single parameter","Biochemistry","Clinical Biochemistry","","ConflictRequiresReview","Urea/Creatinine ratio — calculation candidate","RoutineSingleParameter","","CalculationDefinitionRequired; review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"71","Serum Potassium","","Single parameter","Biochemistry","Clinical Biochemistry","POTASSIUM — Serum Potassium (K+) [Active/Routine; clinical=false]","AliasExisting","POTASSIUM — Serum Potassium (K+)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"72","iCalcium","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","iCalcium","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"73","Serum Calcium","","Single parameter","Biochemistry","Clinical Biochemistry","CALCIUM — Serum Calcium (Total) [Active/Routine; clinical=false]","ConflictRequiresReview","CALCIUM — Serum Calcium (Total)","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"74","Total Calcium","","Single parameter","Biochemistry","Clinical Biochemistry","CALCIUM — Serum Calcium (Total) [Active/Routine; clinical=false]","ConflictRequiresReview","CALCIUM — Serum Calcium (Total)","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"75","Glucose Tolerance Test, GTT","GTT","Multi parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Glucose Tolerance Test, GTT","RoutineMultiParameter/Profile","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"76","Random Blood Sugar","","Single parameter","Biochemistry","Clinical Biochemistry","RBS — Random Blood Sugar (RBS) [Active/Routine; clinical=false]","AliasExisting","RBS — Random Blood Sugar (RBS)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"77","Serum Chloride","","Single parameter","Biochemistry","Clinical Biochemistry","CHLORIDE — Serum Chloride (Cl-) [Active/Routine; clinical=false]","AliasExisting","CHLORIDE — Serum Chloride (Cl-)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"78","Serum Amylase","","Single parameter","Biochemistry","Clinical Biochemistry","AMYLASE — Amylase [Draft/NoClinicalReport; clinical=false]","ExactExisting","AMYLASE — Amylase","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"79","HbA1c (Glycosylated Hemoglobin)","","Multi parameter","Biochemistry","Clinical Biochemistry","HBA1C — Glycated Hemoglobin (HbA1c) [Active/Routine; clinical=false]","AliasExisting","HBA1C — Glycated Hemoglobin (HbA1c)","RoutineMultiParameter/Profile","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"80","A/G Ratio","","Single parameter","Biochemistry","Clinical Biochemistry","LFT.AG_RATIO — A:G Ratio","ConflictRequiresReview","Albumin/Globulin ratio — calculation candidate","RoutineSingleParameter","","CalculationDefinitionRequired; review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"81","Globulin","","Single parameter","Biochemistry","Clinical Biochemistry","GLOBULIN — Globulin [Draft/NoClinicalReport; clinical=false]","ExactExisting","GLOBULIN — Globulin","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"82","Lipase","","Single parameter","Biochemistry","Clinical Biochemistry","LIPASE — Lipase [Draft/NoClinicalReport; clinical=false]","ExactExisting","LIPASE — Lipase","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"83","Ferritin","","Single parameter","Biochemistry","Clinical Biochemistry","FERRITIN — Serum Ferritin [Active/Routine; clinical=false]","ExactExisting","FERRITIN — Serum Ferritin","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"84","Microalbumin Creatinine Ratio, Urine Random","","Multi parameter","Biochemistry","Clinical Pathology","","MissingDraftCandidate","Microalbumin Creatinine Ratio, Urine Random","RoutineMultiParameter/Profile","Source department differs from proposed canonical discipline","CalculationDefinitionRequired; review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"85","CPK-MB","","Single parameter","Biochemistry","Clinical Biochemistry","CK_MB — Creatine Kinase MB [Draft/NoClinicalReport; clinical=false]","ConflictRequiresReview","CK_MB — CK-MB","RoutineSingleParameter","CPK-MB/CK-MB duplicate candidate","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"86","Stool reducing substances","","Single parameter","Biochemistry","Clinical Pathology","","MissingDraftCandidate","Stool reducing substances","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"87","25 Hydroxy (OH) Vitamin D","Vitamin D3","Single parameter","Biochemistry","Clinical Biochemistry","VITAMIN_D — 25-Hydroxy Vitamin D (Total) [Active/Routine; clinical=false]","AliasExisting","VITAMIN_D — 25-Hydroxy Vitamin D (Total)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"88","Vitamin B12","","Single parameter","Biochemistry","Clinical Biochemistry","VITAMIN_B12 — Vitamin B12 (Cyanocobalamin) [Active/Routine; clinical=false]","AliasExisting","VITAMIN_B12 — Vitamin B12 (Cyanocobalamin)","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"89","Gamma Glutamyl Transferase, GGT","GGT","Single parameter","Biochemistry","Clinical Biochemistry","GGT — Gamma-Glutamyl Transferase [Draft/NoClinicalReport; clinical=false]","AliasExisting","GGT — Gamma-Glutamyl Transferase","RoutineSingleParameter","","confirm semantic/method equivalence; preserve existing identity; clinical configuration reviewed separately"
"90","Serum IgE","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Serum IgE","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"91","Serum IgG","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Serum IgG","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"92","Serum IgM","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Serum IgM","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"93","Serum IgA","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Serum IgA","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"94","HSV-1/2 IgG","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","HSV-1/2 IgG","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"95","HSV-1/2 IgM","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","HSV-1/2 IgM","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"96","HSV-2 IgG","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","HSV-2 IgG","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"97","CMV IgG","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","CMV IgG","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"98","CMV IgM","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","CMV IgM","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"99","Rubella IgG","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Rubella IgG","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"100","Rubella IgM","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Rubella IgM","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"101","Anti TPO","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Anti TPO","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"102","Thyroglobulin (TG)","","Single parameter","Biochemistry","Endocrinology / Hormone","","MissingDraftCandidate","Thyroglobulin (TG)","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"103","Thyroglobulin Antibody (TgAb)","","Single parameter","Biochemistry","Endocrinology / Hormone","","MissingDraftCandidate","Thyroglobulin Antibody (TgAb)","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"104","Toxo IgG","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Toxo IgG","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"105","Toxo IgM","","Single parameter","Biochemistry","Clinical Biochemistry","","MissingDraftCandidate","Toxo IgM","RoutineSingleParameter","","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
"106","Estradiol","","Single parameter","Biochemistry","Endocrinology / Hormone","","MissingDraftCandidate","Estradiol","RoutineSingleParameter","Source department differs from proposed canonical discipline","review conflict/identity, then create Draft with billing/reporting disabled only if approved"
