"test_code","parameter_name","method","specimen","unit","age_gender_strata","reference_low","reference_high","clinical_cutoff","qualitative_options","critical_low","critical_high","source_text","clinical_note","semantic_type","candidate_status"
"END-0015","Adrenocorticotropic Hormone (ACTH)","CLIA (2-site sandwich)","EDTA Plasma (Chilled)","pg/mL","Adult (8 AM)","7.2","63.3","<5.0 pg/mL in secondary adrenal insufficiency or autonomous Cushing's","","","","Endocrine Society; Tietz 7th Ed.","Highly labile peptide: collect in pre-chilled EDTA tube, centrifuge at 4°C immediately, freeze plasma promptly.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"END-0011","Parathyroid Hormone (PTH, Intact)","CLIA (2-site sandwich)","Serum / EDTA Plasma","pg/mL","Adult (All)","15.0","65.0","Primary hyperparathyroidism: elevated PTH with hypercalcemia; Secondary: elevated PTH with low/normal Ca","","","","KDIGO; Endocrine Society; Tietz 7th Ed.","Must always be interpreted concurrently with serum calcium and vitamin D levels.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"END-0025","Prolactin","CLIA (standardized to WHO 84/500)","Serum","ng/mL","Adult Male","4.0","15.2",">200: Strongly indicative of prolactinoma; 25–100: Non-adenoma hyperprolactinemia","","","","Endocrine Society; Tietz 7th Ed.","Stress, venipuncture anxiety, and palpation cause transient spikes. Draw 2h after waking.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"END-0025","Prolactin","CLIA","Serum","ng/mL","Adult Female (Non-pregnant)","4.8","23.3","Postmenopausal: 3.0–18.0 ng/mL","","","","Endocrine Society","Screen for macroprolactinemia (PEG precipitation) if elevated in asymptomatic patient.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"END-0039","Beta-hCG, Quantitative","CLIA (Total β-subunit)","Serum","mIU/mL","Non-pregnant Adult Female","0.0","5.0","<5.0: Negative; 5–25: Equivocal (repeat in 48h); >25: Positive for pregnancy","","","","ACOG; Tietz 7th Ed.","Doubles every 48–72h in normal intrauterine pregnancy during the first 6–8 weeks.","DIAGNOSTIC_DECISION_LIMIT","RESEARCH_DRAFT"
"TOX-0001","Lithium","Direct ISE / Flame Photometry","Serum (No gel tube)","mmol/L","Adult (Trough, 12h post-dose)","0.60","1.20","Acute Mania: 0.8–1.2; Maintenance: 0.6–0.8","","0.40","1.50","Tietz 7th Ed.; APA Guidelines","Draw exactly 12h post evening dose (steady-state). Use plain red top only (lithium heparin causes massive artifact).","THERAPEUTIC_TARGET","RESEARCH_DRAFT"
"TOX-0002","Valproic Acid (Sodium Valproate)","Immunoassay (FPIA / EMIT / PETINIA)","Serum","µg/mL","Adult (Trough)","50.0","100.0","Therapeutic range: 50–100 µg/mL; Toxicity commonly manifests >125 µg/mL","","","150.0","Tietz 7th Ed.; ILAE","Highly protein-bound (~90%); free valproate may be monitored in hypoalbuminemia or renal failure.","THERAPEUTIC_TARGET","RESEARCH_DRAFT"
"TOX-0003","Carbamazepine","Immunoassay (FPIA / EMIT / PETINIA)","Serum","µg/mL","Adult (Trough)","4.0","12.0","Therapeutic range: 4–12 µg/mL; Toxic signs (ataxia, nystagmus) common >15 µg/mL","","","15.0","Tietz 7th Ed.; ILAE","Auto-induction of hepatic metabolism occurs during first 4–6 weeks of therapy.","THERAPEUTIC_TARGET","RESEARCH_DRAFT"
"TOX-0004","Phenytoin","Immunoassay (FPIA / EMIT / PETINIA)","Serum","µg/mL","Adult (Trough)","10.0","20.0","Therapeutic range: 10–20 µg/mL; Nystagmus >20; Ataxia >30; Encephalopathy >40","","","25.0","Tietz 7th Ed.; ILAE","Exhibits Michaelis-Menten (non-linear) kinetics; small dose increases produce disproportionate concentration rises.","THERAPEUTIC_TARGET","RESEARCH_DRAFT"
"TOX-0005","Vancomycin (Trough)","Immunoassay (PETINIA / FPIA)","Serum","µg/mL","Adult (Trough, 30m pre-dose)","10.0","20.0","Standard infections: 10–15; Severe (MRSA pneumonia, endocarditis, sepsis): 15–20","","","25.0","IDSA / ASHP Vancomycin Guidelines 2020; Tietz 7th Ed.","Trough drawn within 30 min prior to next dose at steady state (prior to 4th dose); >20 µg/mL significantly increases nephrotoxicity.","THERAPEUTIC_TARGET","RESEARCH_DRAFT"
"TOX-0006","Digoxin","Immunoassay (ECLIA / CLIA / FPIA)","Serum","ng/mL","Adult (Trough, ≥6–8h post-dose)","0.8","2.0","Heart Failure: 0.5–0.9 ng/mL; Atrial Fibrillation: 0.8–1.5 ng/mL","","","2.5","AHA/ACC Heart Failure Guidelines; Tietz 7th Ed.","Collect at least 6–8h post oral dose to permit complete tissue-plasma distribution. Hypokalemia exacerbates toxicity.","THERAPEUTIC_TARGET","RESEARCH_DRAFT"
"TOX-0007","Theophylline","Immunoassay (FPIA / EMIT)","Serum","µg/mL","Adult (Trough)","10.0","20.0","Bronchodilation: 10–20 µg/mL (optimal 5–15 µg/mL in modern protocols)","","","25.0","Tietz 7th Ed.","Arrhythmias and seizures may occur at levels >25 µg/mL without prior minor symptoms.","THERAPEUTIC_TARGET","RESEARCH_DRAFT"
"TOX-0008","Methotrexate (MTX)","Immunoassay (FPIA / ECLIA)","Serum","µmol/L","Post High-Dose MTX Infusion","0.00","0.05","24h post: <5.0; 48h post: <0.5; 72h post: <0.1 µmol/L (Leucovorin rescue threshold)","","","10.0","ASCO / Tietz 7th Ed.","High-dose rescue monitoring: levels determine required folinic acid (leucovorin) dosage and duration.","THERAPEUTIC_TARGET","RESEARCH_DRAFT"
"TOX-0009","Cyclosporine (A)","Whole Blood Immunoassay / LC-MS/MS","Whole Blood (EDTA)","ng/mL","Adult (Trough C0)","100","400","Renal transplant maintenance: 100–200; Acute phase post-transplant: 200–400 ng/mL","","","450","KDIGO Transplant Guidelines; Tietz 7th Ed.","Must use EDTA whole blood (erythrocyte-bound drug); never use serum or plasma.","THERAPEUTIC_TARGET","RESEARCH_DRAFT"
"TOX-0010","Tacrolimus (FK-506)","Whole Blood Immunoassay / LC-MS/MS","Whole Blood (EDTA)","ng/mL","Adult (Trough C0)","5.0","15.0","Maintenance: 5–10 ng/mL; Early post-transplant (1–3 mo): 10–15 ng/mL","","","20.0","KDIGO Transplant Guidelines; Tietz 7th Ed.","Must use EDTA whole blood. Peak trough drawn 12h post evening dose immediately before morning dose.","THERAPEUTIC_TARGET","RESEARCH_DRAFT"
"TUM-0001","Carcinoembryonic Antigen (CEA)","CLIA / ECLIA","Serum","ng/mL","Adult Non-smoker","0.0","3.0","Non-smoker: <3.0; Smoker: <5.0; Malignancy suspicion: >10.0","","","","EGTM Guidelines; Tietz 7th Ed.","For disease monitoring and recurrence detection in colorectal carcinoma; not for primary population screening.","DIAGNOSTIC_DECISION_LIMIT","RESEARCH_DRAFT"
"TUM-0002","Alpha-Fetoprotein (AFP, Tumor Marker)","CLIA / ECLIA","Serum","ng/mL","Adult (All non-pregnant)","0.0","7.0","Hepatocellular carcinoma (HCC) cutoff: >20 ng/mL (diagnostic when >200 ng/mL with imaging)","","","","AASLD Guidelines; Tietz 7th Ed.","Markedly elevated in HCC and non-seminomatous germ cell testicular tumors.","DIAGNOSTIC_DECISION_LIMIT","RESEARCH_DRAFT"
"TUM-0003","Cancer Antigen 125 (CA 125)","CLIA / ECLIA","Serum","U/mL","Adult Female","0.0","35.0","Postmenopausal cutoff: <35.0 U/L; Elevated in ovarian malignancy, endometriosis, peritonitis","","","","NCCN; SGO; Tietz 7th Ed.","Benign elevations common in premenopausal women during menstruation and pregnancy.","DIAGNOSTIC_DECISION_LIMIT","RESEARCH_DRAFT"
"TUM-0004","Carbohydrate Antigen 19-9 (CA 19-9)","CLIA / ECLIA","Serum","U/mL","Adult (All)","0.0","37.0","Pancreatic adenocarcinoma monitoring threshold: >37.0 U/mL","","","","ASCO; Tietz 7th Ed.","Individuals who are Lewis antigen negative (Le a-b-, ~5–10% of population) do not express CA 19-9.","DIAGNOSTIC_DECISION_LIMIT","RESEARCH_DRAFT"
"TUM-0005","Cancer Antigen 15-3 (CA 15-3)","CLIA / ECLIA","Serum","U/mL","Adult Female","0.0","25.0","Metastatic breast cancer monitoring threshold: >25.0–30.0 U/mL","","","","ASCO; EGTM; Tietz 7th Ed.","Useful in assessing therapeutic response in advanced breast cancer.","DIAGNOSTIC_DECISION_LIMIT","RESEARCH_DRAFT"
"TUM-0006","Prostate-Specific Antigen (PSA, Total)","CLIA (WHO 96/670 standard)","Serum","ng/mL","Adult Male (40–49y)","0.0","2.5","Age-specific: 40–49y: <2.5; 50–59y: <3.5; 60–69y: <4.5; 70–79y: <6.5","","","","AUA / EAU Guidelines; Tietz 7th Ed.","Diagnostic gray zone: 4.0–10.0 ng/mL (evaluate Free/Total PSA ratio before biopsy).","DIAGNOSTIC_DECISION_LIMIT","RESEARCH_DRAFT"
"TUM-0007","Free PSA","CLIA","Serum","ng/mL","Adult Male (PSA 4–10)","","","Free/Total PSA Ratio: >25% (low cancer risk); <10% (high cancer risk ~56%)","","","","AUA / EAU Guidelines; Tietz 7th Ed.","Free PSA is unstable; serum must be separated from clot within 2 hours and frozen if not run immediately.","DIAGNOSTIC_DECISION_LIMIT","RESEARCH_DRAFT"
"COA-0001","Prothrombin Time (PT)","Optical / Mechanical Clotting","Citrated Plasma (3.2% Na-Citrate)","seconds","Adult (All)","11.0","14.0","Reagent-dependent lot baseline (MNPT typically 11.5–13.0s)","","","30.0","CLSI H54-A; ISTH","Tube must be filled to the exact indicator mark (9:1 blood-to-anticoagulant ratio).","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"COA-0002","International Normalized Ratio (INR)","Calculated: (PT / MNPT)^ISI","Citrated Plasma","ratio","Non-anticoagulated Adult","0.85","1.15","Therapeutic target: DVT/PE/AF: 2.0–3.0; Mechanical Mitral Valve: 2.5–3.5","","","4.5","WHO; CHEST Guidelines; ISTH","Mandatory panic notification at INR >4.5 due to elevated spontaneous intracranial/major bleeding risk.","THERAPEUTIC_TARGET","RESEARCH_DRAFT"
"COA-0003","Activated Partial Thromboplastin Time (APTT)","Optical / Mechanical Clotting","Citrated Plasma","seconds","Adult (All)","26.0","38.0","Therapeutic Heparin target: 1.5–2.5 x baseline mean (typically 60–85s)","","","70.0","CLSI H47-A2; ISTH","Sensitive to contact factor deficiencies (XII, XI, IX, VIII) and lupus anticoagulants.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"COA-0004","Fibrinogen (Clauss Method)","Clauss Clotting Assay","Citrated Plasma","mg/dL","Adult (All)","200","400","<150: Hypofibrinogenemia / Consumption (DIC); <100: Severe bleeding risk","","100","","CLSI H30-A2; ISTH","Positive acute phase reactant; elevated in pregnancy, inflammation, and cardiovascular risk.","BIOLOGICAL_REFERENCE_INTERVAL","RESEARCH_DRAFT"
"COA-0006","D-Dimer","Quantitative Immunoturbidimetry / FEU","Citrated Plasma","µg/mL FEU","Adult (All)","0.00","0.50","VTE / PE Exclusion threshold: <0.50 µg/mL FEU (Fibrinogen Equivalent Units)","","","","CLSI H59-A; ISTH","High negative predictive value (>98%) to rule out DVT/PE when combined with clinical pre-test probability (Wells score).","DIAGNOSTIC_DECISION_LIMIT","RESEARCH_DRAFT"
"SER-0004","Hepatitis B Surface Antigen (HBsAg)","Rapid ICT / CLIA","Serum / Plasma","Index","All","","","Index <0.90: Non-reactive; 0.90–1.00: Grayzone; >=1.00: Reactive","Non-reactive / Reactive","","","WHO Hepatitis Guidelines; CDC","Initial reactive screens must be confirmed by neutralization assay or repeat in duplicate.","QUALITATIVE_INTERPRETATION","RESEARCH_DRAFT"
"SER-0010","Anti-HCV Total Antibody","Rapid ICT / CLIA","Serum / Plasma","Index","All","","","S/CO <1.00: Non-reactive; >=1.00: Reactive","Non-reactive / Reactive","","","CDC Hepatitis C Screening; WHO","Reactive antibody indicates exposure; active infection requires confirmatory HCV RNA PCR testing.","QUALITATIVE_INTERPRETATION","RESEARCH_DRAFT"
"SER-0001","HIV 1/2 Antigen/Antibody (4th Gen)","Rapid ICT / CLIA","Serum / Plasma","Index","All","","","Index <1.00: Non-reactive; >=1.00: Reactive","Non-reactive / Reactive","","","CDC HIV Testing Algorithm; WHO","Detects HIV-1 p24 antigen and antibodies to HIV-1/2, narrowing the diagnostic window period to 2–3 weeks.","QUALITATIVE_INTERPRETATION","RESEARCH_DRAFT"
"SER-0015","Dengue NS1 Antigen","Rapid ICT / FIA","Serum / Plasma","Index","All (Fever Day 1–5)","","","Index <1.00: Negative; >=1.00: Positive","Negative / Positive","","","WHO Dengue Guidelines","Primary diagnostic marker during early acute phase (Days 1 to 5 of symptom onset).","QUALITATIVE_INTERPRETATION","RESEARCH_DRAFT"
"SER-0016","Dengue IgM Antibody","Rapid ICT / MAC-ELISA","Serum / Plasma","Index","All (Fever Day 5+)","","","Index <1.00: Negative; >=1.00: Positive","Negative / Positive","","","WHO Dengue Guidelines","Appears approximately day 5 post symptom onset, indicating primary or secondary acute infection.","QUALITATIVE_INTERPRETATION","RESEARCH_DRAFT"
"SER-0017","Dengue IgG Antibody","Rapid ICT / ELISA","Serum / Plasma","Index","All","","","Index <1.00: Negative; >=1.00: Positive","Negative / Positive","","","WHO Dengue Guidelines","Elevated early in high titers indicates secondary dengue infection (increased dengue hemorrhagic fever risk).","QUALITATIVE_INTERPRETATION","RESEARCH_DRAFT"
"SER-0008","Syphilis (VDRL / RPR)","Flocculation Macro/Microscopy","Serum / CSF","Titer","All","","","Non-reactive at 1:1; Reactive requires quantitative titer reporting (e.g., 1:2, 1:4, 1:8, 1:16, 1:32)","Non-reactive / Reactive","","","CDC STI Treatment Guidelines 2021","Non-treponemal test: 4-fold titer change (e.g., 1:32 to 1:8) signifies adequate therapeutic response.","QUALITATIVE_INTERPRETATION","RESEARCH_DRAFT"
"SER-0024","Widal Test (S. Typhi O & H)","Slide / Tube Agglutination","Serum","Titer","Endemic region baseline","","","Significant cutoff: S. Typhi O >=1:160, S. Typhi H >=1:160","<1:80, 1:80, 1:160, 1:320, 1:640","","","WHO Guideline on Typhoid Fever","Paired sera (10–14 days apart) demonstrating a 4-fold titer rise provides definitive serodiagnosis.","QUALITATIVE_INTERPRETATION","RESEARCH_DRAFT"
"SER-0089","Scrub Typhus (O. tsutsugamushi IgM)","FIA / Immunochromatography","Serum / Whole Blood","Index","All","","","Index <1.00: Negative; >=1.00: Positive","Negative / Positive","","","WHO; CDC Rickettsial Guidelines","Key diagnostic test in acute febrile illness with suspected vector (chigger mite) exposure.","QUALITATIVE_INTERPRETATION","RESEARCH_DRAFT"
