"test_code","parameter_name","review_category","proposed_range_or_cutoff","proposed_critical_panic","action_needed","current_decision"
"TOX-0009","Cyclosporine (A)","ASSAY_PACKAGE_INSERT_VERIFICATION","100 - 400 ng/mL | Renal transplant maintenance: 100–200; Acute phase post-transplant: 200–400 ng/mL","Low: — | High: 450","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TOX-0010","Tacrolimus (FK-506)","ASSAY_PACKAGE_INSERT_VERIFICATION","5.0 - 15.0 ng/mL | Maintenance: 5–10 ng/mL; Early post-transplant (1–3 mo): 10–15 ng/mL","Low: — | High: 20.0","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TUM-0001","Carcinoembryonic Antigen (CEA)","ASSAY_PACKAGE_INSERT_VERIFICATION","0.0 - 3.0 ng/mL | Non-smoker: <3.0; Smoker: <5.0; Malignancy suspicion: >10.0","None","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TUM-0002","Alpha-Fetoprotein (AFP, Tumor Marker)","ASSAY_PACKAGE_INSERT_VERIFICATION","0.0 - 7.0 ng/mL | Hepatocellular carcinoma (HCC) cutoff: >20 ng/mL (diagnostic when >200 ng/mL with imaging)","None","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TUM-0003","Cancer Antigen 125 (CA 125)","ASSAY_PACKAGE_INSERT_VERIFICATION","0.0 - 35.0 U/mL | Postmenopausal cutoff: <35.0 U/L; Elevated in ovarian malignancy, endometriosis, peritonitis","None","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TUM-0004","Carbohydrate Antigen 19-9 (CA 19-9)","ASSAY_PACKAGE_INSERT_VERIFICATION","0.0 - 37.0 U/mL | Pancreatic adenocarcinoma monitoring threshold: >37.0 U/mL","None","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TUM-0005","Cancer Antigen 15-3 (CA 15-3)","ASSAY_PACKAGE_INSERT_VERIFICATION","0.0 - 25.0 U/mL | Metastatic breast cancer monitoring threshold: >25.0–30.0 U/mL","None","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TUM-0006","Prostate-Specific Antigen (PSA, Total)","ASSAY_PACKAGE_INSERT_VERIFICATION","0.0 - 2.5 ng/mL | Age-specific: 40–49y: <2.5; 50–59y: <3.5; 60–69y: <4.5; 70–79y: <6.5","None","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"TUM-0007","Free PSA","ASSAY_PACKAGE_INSERT_VERIFICATION"," -  ng/mL | Free/Total PSA Ratio: >25% (low cancer risk); <10% (high cancer risk ~56%)","None","Confirm on-site analyzer reagent lot & package insert","HOLD_DO_NOT_MIGRATE"
"COA-0001","Prothrombin Time (PT)","CRITICAL_PANIC_VALUE_GOVERNANCE","11.0 - 14.0 seconds | Reagent-dependent lot baseline (MNPT typically 11.5–13.0s)","Low: — | High: 30.0","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"COA-0002","International Normalized Ratio (INR)","CRITICAL_PANIC_VALUE_GOVERNANCE","0.85 - 1.15 ratio | Therapeutic target: DVT/PE/AF: 2.0–3.0; Mechanical Mitral Valve: 2.5–3.5","Low: — | High: 4.5","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"COA-0003","Activated Partial Thromboplastin Time (APTT)","CRITICAL_PANIC_VALUE_GOVERNANCE","26.0 - 38.0 seconds | Therapeutic Heparin target: 1.5–2.5 x baseline mean (typically 60–85s)","Low: — | High: 70.0","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"COA-0004","Fibrinogen (Clauss Method)","CRITICAL_PANIC_VALUE_GOVERNANCE","200 - 400 mg/dL | <150: Hypofibrinogenemia / Consumption (DIC); <100: Severe bleeding risk","Low: 100 | High: —","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
"SER-0008","Syphilis (VDRL / RPR)","GENERAL_CLINICAL_VALIDATION"," -  Titer | Non-reactive at 1:1; Reactive requires quantitative titer reporting (e.g., 1:2, 1:4, 1:8, 1:16, 1:32)","None","Medical Director sign-off on panic notification thresholds","HOLD_DO_NOT_MIGRATE"
